cohort,users,week_1_retained_users,week_2_retained_users,week_3_retained_users,week_4_retained_users
W01,95000,72200,58900,50350,44650
W02,97000,73720,61110,52380,46560
W03,99000,76230,62370,53460,47520
W04,101000,77770,64640,55550,49490
W05,103000,80340,66950,57680,51500
W06,105000,81900,68250,58800,52500
W07,108000,83160,69120,58320,51840
W08,110000,82500,67100,56100,49500
W09,112000,81760,63840,52640,45920
W10,114000,80940,60420,49020,42180
W11,116000,80040,56840,45240,39440
W12,118000,79060,54280,42480,36580
