week,visitors,browse_users,product_viewers,cart_users,checkout_users
W01,684000,478800,373464,141916,116371
W02,694800,486360,379361,144157,118209
W03,705600,500976,395771,154351,128111
W04,726350,515708,407409,158890,131879
W05,737300,523483,413552,161285,133867
W06,758500,546120,436896,174758,146797
W07,769600,546416,431669,168351,138048
W08,770150,539105,420502,159791,127833
W09,770400,531576,409314,151446,118128
W10,766800,521424,396282,142662,108423
W11,763000,511210,383408,134193,99303
W12,759000,500940,370696,126037,90747
