week,segment,users,orders,revenue,retained_users,promo_users,contribution_profit
W01,Power,95000,455285,25415058,87400,9500,6099613.92
W01,Regular,285000,768292,38988936,205200,51300,7797787.2
W01,Occasional,380000,512195,23393377,182400,106400,3976874.09
W01,Dormant,190000,14228,577629,22800,66500,28881.45
W02,Power,96500,465691,26098899,88780,9650,6394230.26
W02,Regular,289500,785854,40038105,208440,52110,8207811.52
W02,Occasional,386000,523902,24022833,185280,108080,4203995.77
W02,Dormant,193000,14553,593163,23160,67550,29658.15
W03,Power,98000,473021,26569050,90160,9800,6642262.5
W03,Regular,294000,798223,40774110,214620,52920,8562563.1
W03,Occasional,392000,543974,25019182,192080,113680,4503452.76
W03,Dormant,196000,14782,601658,23520,68600,30082.9
W04,Power,99500,483360,27042891,92535,9950,6760722.75
W04,Regular,298500,815671,41501336,217905,53730,8715280.56
W04,Occasional,398000,555864,25465389,199000,115420,4583770.02
W04,Dormant,199000,15105,612384,25870,69650,30619.2
W05,Power,101000,494396,27630893,93930,11110,6907723.25
W05,Regular,303000,830584,42054855,224220,57570,8831519.55
W05,Occasional,404000,559808,25459300,202000,121200,4582674.0
W05,Dormant,202000,15212,614952,26260,72720,30747.6
W06,Power,102500,500599,27899621,95325,11275,6835407.14
W06,Regular,307500,841005,42379106,227550,58425,8687716.73
W06,Occasional,410000,572993,25986335,209100,123000,4547608.62
W06,Dormant,205000,15403,620938,26650,73800,31046.9
W07,Power,104000,497720,27523301,95680,12480,6605592.24
W07,Regular,312000,839902,42054327,227760,62400,8410865.4
W07,Occasional,416000,559935,25052459,203840,133120,4008393.44
W07,Dormant,208000,12443,487913,24960,76960,19516.52
W08,Power,100225,475021,26111932,91205,13029,6136304.02
W08,Regular,316500,846809,42047126,224715,66465,7988953.94
W08,Occasional,427275,555266,24396124,192274,149546,3537437.98
W08,Dormant,211000,12904,504818,23210,80180,17668.63
W09,Power,96300,456180,24695555,86670,13482,5679977.65
W09,Regular,321000,861673,41939632,221490,70620,7549133.76
W09,Occasional,438700,540320,23078392,175480,166706,3000190.96
W09,Dormant,214000,11827,446421,21400,83460,13392.63
W10,Power,91800,435845,23127432,81702,13770,5203672.2
W10,Regular,324000,875227,41712291,217080,74520,7091089.47
W10,Occasional,448200,528319,22064127,156870,183762,2537374.6
W10,Dormant,216000,10609,396150,19440,86400,9903.75
W11,Power,87200,413385,21729397,76736,13952,4780467.34
W11,Regular,327000,885824,41776098,212550,78480,6684175.68
W11,Occasional,457800,511564,21110010,141918,201432,2111001.0
W11,Dormant,218000,9227,344495,17440,89380,6889.9
W12,Power,82500,393416,21068513,71775,14025,4529730.3
W12,Regular,330000,903400,43359044,207900,82500,6503856.6
W12,Occasional,467500,495413,20774065,130900,219725,1765795.52
W12,Dormant,220000,7771,298378,15400,92400,4475.67
