week,mau,orders,revenue,new_users,acquisition_spend,contribution_profit
W01,950000,1750000,88375000,95000,3610000,16791250.0
W02,965000,1790000,90753000,97000,3686000,17424576.0
W03,980000,1830000,92964000,99000,3663000,17942052.0
W04,995000,1870000,94622000,101000,3737000,18356668.0
W05,1010000,1900000,95760000,103000,3708000,18673200.0
W06,1025000,1930000,96886000,105000,3780000,18698998.0
W07,1040000,1910000,95118000,108000,4212000,17882184.0
W08,1055000,1890000,93060000,110000,4620000,16843860.0
W09,1070000,1870000,90160000,112000,5040000,15507520.0
W10,1080000,1850000,87300000,114000,5358000,14142600.0
W11,1090000,1820000,84960000,116000,5800000,12574080.0
W12,1100000,1800000,85500000,118000,6136000,11542500.0
